ts	phase	decision	why	evidence	result
2026-09-12T05:01:04Z	baseline	ran the deployed CLI-to-browser transfer with README.md	needed to separate a dead deployment from protocol and lifecycle defects	https://cd.yash0.in/api/health, browser receiver text	VERIFIED small-file happy path
2026-09-12T05:06:00Z	frame	kept browser WebRTC separate and scoped the rewrite to agent-to-browser transfer	the two paths have different callers and transport needs	docs/production-recovery.md	open
2026-09-12T05:22:00Z	design	selected one foreground encrypted WebSocket stream with bounded acknowledgements	it gives one observable lifecycle and avoids a background supervisor, PAKE, or transport negotiation	docs/agent-transfer-v1.md	architecture selected
2026-09-12T10:18:00Z	implementation	replaced the detached croc-inspired prototype with protocol v1	agents need a ready-before-print contract, bounded transfer state, and receiver-confirmed completion	cmd/cdx, src/agent-protocol.js, src/share.js, worker/index.ts	implemented
2026-09-12T10:30:00Z	packaging	made cdx installable from the repository root and added release binaries	other agents and users need a reproducible install path	go.mod, scripts/install.sh, .github/workflows/release.yml	all six cross-builds passed on Go 1.24.10
2026-09-12T10:34:00Z	security	upgraded vulnerable build dependencies and added strict checking and disclosure guidance	production candidate cannot knowingly retain high-severity audit findings	npm audit, npm run typecheck, SECURITY.md	zero npm audit findings
2026-09-12T10:39:00Z	browser	completed the branded local browser receive flow	the CLI protocol is only useful if the shipped UI can consent, decrypt, verify, and download	T3 preview status and sender stderr	README.md reached 100 percent and sender exited 0
2026-09-12T10:43:00Z	verification	isolated local Durable Object state per run after a repeated-run failure	the E2E verifier must be idempotent and cannot inherit tombstones from older runs	scripts/verify-agent.mjs	two consecutive exact-byte runs passed
2026-09-12T10:55:00Z	audit	accepted independent P1 findings for default-branch install URL, pending-socket expiry, and verifier cleanup	each could break installation, receiver admission, or repeatable CI	independent final_audit review	all three remediated and rerun
2026-09-12T11:02:00Z	hardening	gated releases on verification and pinned GitHub Actions revisions	release artifacts must not publish from a failing or mutable pipeline	.github/workflows/ci.yml, .github/workflows/release.yml	release workflow now depends on full verification
2026-09-12T11:08:00Z	verification	proved silent joins expire and the room admits a sender afterward	join authentication must not permit connection-cap exhaustion	scripts/verify-agent.mjs, Worker structured events	three silent sockets closed and exact-byte E2E passed
2026-09-12T11:16:00Z	audit	requested an independent remediation re-review	the production checkpoint needs evidence that fixes address the findings rather than move them	final_audit follow-up, full local checks	no blocking or P1 findings remain; clear for deployment checkpoint
2026-09-12T17:18:00Z	security	replaced the 33-word P2P rendezvous namespace	five bits of route entropy allowed trivial enumeration of active browser and Android sends	src/p2p-code.test.js, Android TransferLogicTest	128-bit base64url codes in URL fragments
2026-09-12T17:21:00Z	hardening	bounded and validated both P2P receivers	untrusted manifests, chunk reassembly, and completion state could consume memory or accept incomplete files	p2p-manifest tests, Android lint/unit/build	filename, count, size, order, queue, and exact-byte limits enforced
2026-09-12T17:23:00Z	supply-chain	added secret, dependency, vulnerability, CodeQL, and Android CI gates	public releases need repeatable checks beyond application tests	gitleaks full history, npm audit, actionlint, Gradle wrapper	workflows configured; Go runtime scan prompted toolchain upgrade
2026-09-12T17:30:00Z	security	raised CLI build and release floor from Go 1.24 to Go 1.26.6	govulncheck found reachable TLS and X.509 vulnerabilities in older standard libraries	go.mod, CI and release workflows, govulncheck	patched toolchain required for every cdx binary
2026-09-12T17:42:00Z	architecture	moved P2P signaling onto the CD Worker	the public PeerJS signaling service failed intermittently and violated the single-domain requirement	two-tab transfer through local /peerjs/peerjs WebSockets	sender and receiver completed through CD-owned signaling
2026-09-12T17:47:00Z	verification	ran the final launch gauntlet after signaling migration	security and lifecycle claims must be checked against the finished artifact	Go test/vet/govulncheck/cross-build, npm test/audit/typecheck, exact-byte E2E, Android test/lint/build, actionlint, gitleaks, Wrangler dry run	all local gates passed; live deployment remains intentionally unchanged
